G.U.N.T. Geraetebau GmbH
ET850

1/24/2018

Time	T1 (°C)	T2 (°C)	T3 (°C)	T4 (°C)	T5 (°C)	T6 (°C)	F1 (l/h)	F2 (l/h)	F3 (l/min)	p1 (bar)	p2 (bar)	P (W)
1/24/2018 3:59:00 PM.38	59	14	27	40	135	135	8.17	243	5.3	2.97	0.514	0
1/24/2018 3:58:59 PM.89	59	14	27	39	135	135	8.14	245	5.3	2.98	0.516	0
1/24/2018 3:58:59 PM.39	60	14	27	40	135	135	8.26	243	5.3	2.97	0.514	0
1/24/2018 3:58:58 PM.88	59	13	27	39	134	135	8.20	243	5.4	2.98	0.516	0
1/24/2018 3:58:58 PM.38	59	14	27	40	135	135	8.13	245	5.3	2.98	0.516	0
1/24/2018 3:58:57 PM.88	59	13	27	39	135	135	8.19	243	5.4	2.97	0.516	0
1/24/2018 3:58:57 PM.38	60	13	27	39	135	135	8.26	243	5.4	2.97	0.519	0
1/24/2018 3:58:56 PM.89	59	14	27	39	135	135	8.17	245	5.4	2.98	0.516	0
1/24/2018 3:58:56 PM.38	59	14	27	40	135	135	8.25	243	5.3	2.98	0.514	0
1/24/2018 3:58:55 PM.89	59	14	27	40	134	135	8.23	248	5.3	2.98	0.513	0
1/24/2018 3:58:55 PM.39	59	14	27	40	135	135	8.19	245	5.4	2.97	0.516	0
1/24/2018 3:58:54 PM.88	59	13	27	39	135	135	8.19	245	5.3	2.97	0.517	0
1/24/2018 3:58:54 PM.39	59	14	26	40	135	135	8.17	251	5.3	2.97	0.516	0
1/24/2018 3:58:53 PM.88	59	14	26	39	135	135	8.17	250	5.4	2.98	0.514	0
1/24/2018 3:58:53 PM.39	59	13	26	39	135	135	8.17	245	5.3	2.95	0.514	0
1/24/2018 3:58:52 PM.88	59	14	26	39	135	135	8.23	248	5.4	2.96	0.516	0
1/24/2018 3:58:52 PM.39	59	13	26	39	135	135	8.17	244	5.4	2.95	0.520	0
1/24/2018 3:58:51 PM.88	59	14	26	40	135	135	8.16	243	5.4	2.97	0.522	0
1/24/2018 3:58:51 PM.39	59	14	27	39	135	135	8.13	245	5.4	2.96	0.520	0
1/24/2018 3:58:50 PM.88	59	14	26	40	135	135	8.17	244	5.4	2.96	0.517	0
1/24/2018 3:58:50 PM.38	59	13	27	39	135	135	8.17	243	5.3	2.98	0.519	0
1/24/2018 3:58:49 PM.88	59	14	27	39	135	135	8.29	242	5.4	2.98	0.517	0
1/24/2018 3:58:49 PM.38	59	14	27	40	135	135	8.19	243	5.4	2.97	0.517	0
