G.U.N.T. Geraetebau GmbH
ET850

1/24/2018 NKD 

Time	T1 (°C)	T2 (°C)	T3 (°C)	T4 (°C)	T5 (°C)	T6 (°C)	F1 (l/h)	F2 (l/h)	F3 (l/min)	p1 (bar)	p2 (bar)	P (W)
1/24/2018 4:37:02 PM.37	59	13	31	40	141	183	7.22	193	5.7	3.03	0.472	1
1/24/2018 4:37:01 PM.87	59	14	31	40	141	183	7.24	194	5.8	3.02	0.473	0
1/24/2018 4:37:01 PM.37	59	13	32	40	141	184	7.08	196	5.7	3.02	0.475	0
1/24/2018 4:37:00 PM.87	59	14	31	40	141	183	7.18	195	5.7	3.02	0.472	0
1/24/2018 4:37:00 PM.37	59	14	32	40	141	183	7.21	195	5.7	3.01	0.472	0
1/24/2018 4:36:59 PM.87	59	14	31	40	141	183	7.16	196	5.7	3.03	0.473	0
1/24/2018 4:36:59 PM.37	59	13	31	40	141	183	7.16	195	5.7	3.03	0.472	0
1/24/2018 4:36:58 PM.87	59	14	31	40	141	183	7.09	194	5.7	3.03	0.473	0
1/24/2018 4:36:58 PM.37	59	14	31	39	141	183	7.27	196	5.7	3.04	0.473	0
1/24/2018 4:36:57 PM.87	59	14	31	40	141	183	7.25	194	5.7	3.03	0.473	1
1/24/2018 4:36:57 PM.37	60	14	31	40	141	183	7.40	192	5.8	3.03	0.473	0
1/24/2018 4:36:56 PM.87	59	14	31	40	140	183	7.16	195	5.7	3.02	0.473	0
1/24/2018 4:36:56 PM.37	59	14	31	40	141	183	7.19	200	5.7	3.02	0.473	0
1/24/2018 4:36:55 PM.87	59	14	31	39	140	183	7.29	199	5.7	3.02	0.473	0
1/24/2018 4:36:55 PM.37	59	14	31	40	140	183	7.15	197	5.7	3.02	0.476	0
1/24/2018 4:36:54 PM.87	59	14	31	40	140	183	7.19	195	5.7	3.03	0.476	0
1/24/2018 4:36:54 PM.37	59	14	31	40	140	183	7.21	192	5.7	3.03	0.474	0
